DMG_ID	percent_occurrence	dc_blast_hit	max_blastn_hit_length	ORF_ID	ORF_length	annotation	contig	start	stop
				Pdam_TMW21535_fig_51663_45_peg_22	738	Mobile element protein chr21535-1 23733-24470	chr21535-1	1178506	1177769
				Pdam_TMW21535_fig_51663_45_peg_251	738	Mobile element protein chr21535-1 266641-267378	chr21535-1	1313894	1314631
				Pdam_TMW21535_fig_51663_45_peg_332	738	Mobile element protein chr21535-1 350222-350959	chr21535-1	1374103	1374840
				Pdam_TMW21535_fig_51663_45_peg_406	738	Mobile element protein chr21535-1 423370-424107	chr21535-1	1588530	1587793
				Pdam_TMW21535_fig_51663_45_peg_505	738	Mobile element protein chr21535-1 535064-535801	chr21535-1	1677954	1678691
				Pdam_TMW21535_fig_51663_45_peg_619	738	Mobile element protein chr21535-1 651948-652685	chr21535-1	1790463	1791200
				Pdam_TMW21535_fig_51663_45_peg_758	738	Mobile element protein chr21535-1 802412-803149	chr21535-1	1893578	1892841
				Pdam_TMW21535_fig_51663_45_peg_84	738	Mobile element protein chr21535-1 95487-96224	chr21535-1	1965661	1964924
				Pdam_TMW21535_fig_51663_45_peg_950	738	Mobile element protein chr21535-1 1023672-1024409	chr21535-1	2027060	2027797
DMG_2	100	no	30	Pdam_TMW21533_fig_51663_47_peg_1031	1224	Mobile element protein chr21533-1 1143389-1144612	chr21533-1	33482	32259
				Pdam_TMW21533_fig_51663_47_peg_1281	1224	Mobile element protein chr21533-1 1426489-1427712	chr21533-1	219446	218223
				Pdam_TMW21533_fig_51663_47_peg_1685	1224	Mobile element protein chr21533-1 1862512-1863735	chr21533-1	801298	800075
				Pdam_TMW21533_fig_51663_47_peg_1782	1224	Mobile element protein chr21533-1 1972474-1973697	chr21533-1	1144612	1143389
				Pdam_TMW21533_fig_51663_47_peg_187	1224	Mobile element protein chr21533-1 218223-219446	chr21533-1	1426489	1427712
				Pdam_TMW21533_fig_51663_47_peg_32	1224	Mobile element protein chr21533-1 32259-33482	chr21533-1	1863735	1862512
				Pdam_TMW21533_fig_51663_47_peg_408	1224	Mobile element protein chr21533-1 464712-465935	chr21533-1	1973697	1972474
				Pdam_TMW21533_fig_51663_47_peg_617	1224	Mobile element protein chr21533-1 693443-694666	chr21533-1	464712	465935
				Pdam_TMW21533_fig_51663_47_peg_717	1224	Mobile element protein chr21533-1 800075-801298	chr21533-1	694666	693443
				Pdam_TMW21535_fig_51663_45_peg_1086	1224	Mobile element protein chr21535-1 1178516-1179739	chr21535-1	22500	23723
				Pdam_TMW21535_fig_51663_45_peg_1204	1224	Mobile element protein chr21535-1 1312661-1313884	chr21535-1	97457	96234
				Pdam_TMW21535_fig_51663_45_peg_1255	1224	Mobile element protein chr21535-1 1372870-1374093	chr21535-1	213762	212539
				Pdam_TMW21535_fig_51663_45_peg_1453	1224	Mobile element protein chr21535-1 1588540-1589763	chr21535-1	265408	266631
				Pdam_TMW21535_fig_51663_45_peg_1537	1224	Mobile element protein chr21535-1 1676721-1677944	chr21535-1	348989	350212
				Pdam_TMW21535_fig_51663_45_peg_1641	1224	Mobile element protein chr21535-1 1789230-1790453	chr21535-1	422137	423360
				Pdam_TMW21535_fig_51663_45_peg_1727	1224	Mobile element protein chr21535-1 1893588-1894811	chr21535-1	533831	535054
				Pdam_TMW21535_fig_51663_45_peg_1798	1224	Mobile element protein chr21535-1 1965671-1966894	chr21535-1	653918	652695
				Pdam_TMW21535_fig_51663_45_peg_1855	1224	Mobile element protein chr21535-1 2025827-2027050	chr21535-1	801179	802402
				Pdam_TMW21535_fig_51663_45_peg_186	1224	Mobile element protein chr21535-1 212539-213762	chr21535-1	1025642	1024419
				Pdam_TMW21535_fig_51663_45_peg_21	1224	Mobile element protein chr21535-1 22500-23723	chr21535-1	1179739	1178516
				Pdam_TMW21535_fig_51663_45_peg_250	1224	Mobile element protein chr21535-1 265408-266631	chr21535-1	1312661	1313884
				Pdam_TMW21535_fig_51663_45_peg_331	1224	Mobile element protein chr21535-1 348989-350212	chr21535-1	1372870	1374093
				Pdam_TMW21535_fig_51663_45_peg_405	1224	Mobile element protein chr21535-1 422137-423360	chr21535-1	1589763	1588540
				Pdam_TMW21535_fig_51663_45_peg_504	1224	Mobile element protein chr21535-1 533831-535054	chr21535-1	1676721	1677944
				Pdam_TMW21535_fig_51663_45_peg_620	1224	Mobile element protein chr21535-1 652695-653918	chr21535-1	1789230	1790453
				Pdam_TMW21535_fig_51663_45_peg_757	1224	Mobile element protein chr21535-1 801179-802402	chr21535-1	1894811	1893588
				Pdam_TMW21535_fig_51663_45_peg_85	1224	Mobile element protein chr21535-1 96234-97457	chr21535-1	1966894	1965671
				Pdam_TMW21535_fig_51663_45_peg_951	1224	Mobile element protein chr21535-1 1024419-1025642	chr21535-1	2025827	2027050
DMG_3	100	yes	1276	Pdam_TMW21533_fig_51663_47_peg_107	1272	Mobile element protein chr21533-1 115263-116534	chr21533-1	116534	115263
				Pdam_TMW21533_fig_51663_47_peg_1691	1272	Mobile element protein chr21533-1 1870631-1871902	chr21533-1	605737	604466
				Pdam_TMW21533_fig_51663_47_peg_1735	1272	Transposase chr21533-1 1920898-1922169	chr21533-1	949086	950357
				Pdam_TMW21533_fig_51663_47_peg_544	1272	Mobile element protein chr21533-1 604466-605737	chr21533-1	1871902	1870631
				Pdam_TMW21533_fig_51663_47_peg_860	1272	Mobile element protein chr21533-1 949086-950357	chr21533-1	1922169	1920898
				Pdam_TMW21535_fig_51663_45_peg_1016	1272	hypothetical protein chr21535-1 1110721-1111992	chr21535-1	1111992	1110721
				Pdam_TMW21535_fig_51663_45_peg_1376	1272	hypothetical protein chr21535-1 1512151-1513422	chr21535-1	1513422	1512151
				Pdam_TMW21535_fig_51663_45_peg_1400	1272	hypothetical protein chr21535-1 1534083-1535354	chr21535-1	185353	184082
				Pdam_TMW21535_fig_51663_45_peg_1428	1272	hypothetical protein chr21535-1 1561832-1563103	chr21535-1	451293	450022
				Pdam_TMW21535_fig_51663_45_peg_161	1272	hypothetical protein chr21535-1 184082-185353	chr21535-1	476868	478139
				Pdam_TMW21535_fig_51663_45_peg_1635	1272	hypothetical protein chr21535-1 1783059-1784330	chr21535-1	569430	568159
				Pdam_TMW21535_fig_51663_45_peg_1926	1272	hypothetical protein chr21535-1 2102432-2103703	chr21535-1	720307	719036
				Pdam_TMW21535_fig_51663_45_peg_428	1272	hypothetical protein chr21535-1 450022-451293	chr21535-1	1000851	1002122
				Pdam_TMW21535_fig_51663_45_peg_456	1272	hypothetical protein chr21535-1 476868-478139	chr21535-1	1053174	1054445
				Pdam_TMW21535_fig_51663_45_peg_540	1272	hypothetical protein chr21535-1 568159-569430	chr21535-1	1534083	1535354
				Pdam_TMW21535_fig_51663_45_peg_692	1272	hypothetical protein chr21535-1 719036-720307	chr21535-1	1563103	1561832
				Pdam_TMW21535_fig_51663_45_peg_932	1272	hypothetical protein chr21535-1 1000851-1002122	chr21535-1	1784330	1783059
				Pdam_TMW21535_fig_51663_45_peg_976	1272	hypothetical protein chr21535-1 1053174-1054445	chr21535-1	2102432	2103703
DMG_4	100	no	75	Pdam_TMW21533_fig_51663_47_peg_1975	771	Acetyl-coenzyme A carboxyl transferase alpha chain _EC 6_4_1_2_;Ontology_term_KEGG_ENZYME_6_4_1_2 pL21533-1 763-1533	pL21533-1	763	1533
				Pdam_TMW21535_fig_51663_45_peg_2232	771	Acetyl-coenzyme A carboxyl transferase alpha chain _EC 6_4_1_2_;Ontology_term_KEGG_ENZYME_6_4_1_2 pL21535-3 87695-88465	pL21535-3	87695	88465
DMG_5	100	no	27	Pdam_TMW21533_fig_51663_47_peg_1976	759	Enoyl-[acyl-carrier-protein] reductase [NADH] _EC 1_3_1_9_;Ontology_term_KEGG_ENZYME_1_3_1_9 pL21533-1 1562-2320	pL21533-1	1562	2320
				Pdam_TMW21535_fig_51663_45_peg_2233	759	Enoyl-[acyl-carrier-protein] reductase [NADH] _EC 1_3_1_9_;Ontology_term_KEGG_ENZYME_1_3_1_9 pL21535-3 88494-89252	pL21535-3	88494	89252
DMG_6	100	no	82	Pdam_TMW21533_fig_51663_47_peg_1985	285	Mobile element protein pL21533-1 8964-9248	pL21533-1	8964	9248
				Pdam_TMW21535_fig_51663_45_peg_2176	285	Mobile element protein pL21535-3 36368-36652	pL21535-3	36368	36652
				Pdam_TMW21535_fig_51663_45_peg_2240	285	Mobile element protein pL21535-3 93925-94209	pL21535-3	93925	94209
DMG_7	100	no	31	Pdam_TMW21533_fig_51663_47_peg_1987	1347	Permeases of the major facilitator superfamily pL21533-1 9801-11147	pL21533-1	9801	11147
				Pdam_TMW21535_fig_51663_45_peg_2179	1347	Permeases of the major facilitator superfamily pL21535-3 38763-40109	pL21535-3	38763	40109
				Pdam_TMW21535_fig_51663_45_peg_2243	1347	Permeases of the major facilitator superfamily pL21535-3 96320-97666	pL21535-3	96320	97666
DMG_8	100	no	32	Pdam_TMW21533_fig_51663_47_peg_1988	1767	Neopullulanase _EC 3_2_1_135_;Ontology_term_KEGG_ENZYME_3_2_1_135 pL21533-1 11147-12913	pL21533-1	11147	12913
				Pdam_TMW21535_fig_51663_45_peg_2180	1767	Neopullulanase _EC 3_2_1_135_;Ontology_term_KEGG_ENZYME_3_2_1_135 pL21535-3 40109-41875	pL21535-3	40109	41875
				Pdam_TMW21535_fig_51663_45_peg_2244	1767	Neopullulanase _EC 3_2_1_135_;Ontology_term_KEGG_ENZYME_3_2_1_135 pL21535-3 97666-99432	pL21535-3	97666	99432
DMG_9	100	no	22	Pdam_TMW21533_fig_51663_47_peg_1990	252	Transposase pL21533-1 13440-13691	pL21533-1	13440	13691
				Pdam_TMW21533_fig_51663_47_peg_2202	264	transposase pL21533-7 3760-4023	pL21533-7	4023	3760
				Pdam_TMW21535_fig_51663_45_peg_2181	252	hypothetical protein pL21535-3 42402-42653	pL21535-3	42402	42653
				Pdam_TMW21535_fig_51663_45_peg_2245	252	transposase pL21535-3 99959-100210	pL21535-3	99959	100210
				Pdam_TMW21535_fig_51663_45_peg_2288	264	transposase pL21535-4 3760-4023	pL21535-4	4023	3760
DMG_10	100	yes	97	Pdam_TMW21533_fig_51663_47_peg_1991	843	Mobile element protein pL21533-1 13745-14587	pL21533-1	13745	14587
				Pdam_TMW21533_fig_51663_47_peg_2080	843	Mobile element protein pL21533-3 19270-20112	pL21533-3	20112	19270
				Pdam_TMW21533_fig_51663_47_peg_2201	843	Mobile element protein pL21533-7 2877-3719	pL21533-7	3719	2877
				Pdam_TMW21535_fig_51663_45_peg_2182	843	Mobile element protein pL21535-3 42707-43549	pL21535-3	42707	43549
				Pdam_TMW21535_fig_51663_45_peg_2246	843	Mobile element protein pL21535-3 100264-101106	pL21535-3	100264	101106
				Pdam_TMW21535_fig_51663_45_peg_2287	843	Mobile element protein pL21535-4 2877-3719	pL21535-4	3719	2877
DMG_11	100	no	30	Pdam_TMW21533_fig_51663_47_peg_1992	906	Esterase_lipase pL21533-1 14954-15859	pL21533-1	14954	15859
				Pdam_TMW21535_fig_51663_45_peg_2183	906	hypothetical protein pL21535-3 43916-44821	pL21535-3	43916	44821
				Pdam_TMW21535_fig_51663_45_peg_2247	906	Esterase_lipase pL21535-3 101473-102378	pL21535-3	101473	102378
DMG_12	100	yes	84	Pdam_TMW21533_fig_51663_47_peg_1996	450	Aspartate aminotransferase _EC 2_6_1_1_;Ontology_term_KEGG_ENZYME_2_6_1_1 pL21533-1 17313-17762	pL21533-1	17762	17313
				Pdam_TMW21535_fig_51663_45_peg_2186	450	Aspartate aminotransferase _EC 2_6_1_1_;Ontology_term_KEGG_ENZYME_2_6_1_1 pL21535-3 46274-46723	pL21535-3	46723	46274
				Pdam_TMW21535_fig_51663_45_peg_2250	450	Aspartate aminotransferase _EC 2_6_1_1_;Ontology_term_KEGG_ENZYME_2_6_1_1 pL21535-3 103832-104281	pL21535-3	104281	103832
DMG_13	100	yes	470	Pdam_TMW21533_fig_51663_47_peg_1998	2115	ATP-dependent protease ATP-binding subunit clpL pL21533-1 18935-21049	pL21533-1	18935	21049
				Pdam_TMW21535_fig_51663_45_peg_2252	2115	ATP-dependent protease ATP-binding subunit clpL pL21535-3 105454-107568	pL21535-3	47896	50010
				Pdam_TMW21535_fig_51663_45_peg_2188	2115	ATP-dependent protease ATP-binding subunit clpL pL21535-3 47896-50010	pL21535-3	105454	107568
DMG_14	100	yes	471	Pdam_TMW21533_fig_51663_47_peg_2003	480	Mobile element protein pL21533-1 23020-23499	pL21533-1	23499	23020
				Pdam_TMW21535_fig_51663_45_peg_2256	480	Mobile element protein pL21535-3 109539-110018	pL21535-3	110018	109539
DMG_15	100	no	35	Pdam_TMW21533_fig_51663_47_peg_2004	156	hypothetical protein pL21533-1 23869-24024	pL21533-1	24024	23869
				Pdam_TMW21535_fig_51663_45_peg_2257	156	hypothetical protein pL21535-3 110388-110543	pL21535-3	110543	110388
DMG_16	100	yes	154	Pdam_TMW21533_fig_51663_47_peg_2005	801	Chromosome _plasmid_ partitioning protein ParA pL21533-1 24221-25021	pL21533-1	25021	24221
				Pdam_TMW21535_fig_51663_45_peg_2258	801	Chromosome _plasmid_ partitioning protein ParA pL21535-3 110740-111540	pL21535-3	111540	110740
DMG_17	100	no	28	Pdam_TMW21533_fig_51663_47_peg_2029	447	3-hydroxyacyl-[acyl-carrier-protein] dehydratase2C FabZ form _EC 4_2_1_59_;Ontology_term_KEGG_ENZYME_4_2_1_59 pL21533-1 49002-49448	pL21533-1	49002	49448
				Pdam_TMW21535_fig_51663_45_peg_2221	447	3-hydroxyacyl-[acyl-carrier-protein] dehydratase2C FabZ form _EC 4_2_1_59_;Ontology_term_KEGG_ENZYME_4_2_1_59 pL21535-3 79383-79829	pL21535-3	79383	79829
DMG_18	100	no	34	Pdam_TMW21533_fig_51663_47_peg_2030	468	Transcriptional regulator of fatty acid biosynthesis FabT pL21533-1 49477-49944	pL21533-1	49477	49944
				Pdam_TMW21535_fig_51663_45_peg_2222	468	Transcriptional regulator of fatty acid biosynthesis FabT pL21535-3 79858-80325	pL21535-3	79858	80325
DMG_19	100	no	31	Pdam_TMW21533_fig_51663_47_peg_2031	984	3-oxoacyl-[acyl-carrier-protein] synthase2C KASIII _EC 2_3_1_180_;Ontology_term_KEGG_ENZYME_2_3_1_180 pL21533-1 49941-50924	pL21533-1	49941	50924
				Pdam_TMW21535_fig_51663_45_peg_2223	984	3-oxoacyl-[acyl-carrier-protein] synthase2C KASIII _EC 2_3_1_180_;Ontology_term_KEGG_ENZYME_2_3_1_180 pL21535-3 80322-81305	pL21535-3	80322	81305
DMG_20	100	yes	96	Pdam_TMW21533_fig_51663_47_peg_2032	249	Acyl carrier protein pL21533-1 50989-51237	pL21533-1	50989	51237
				Pdam_TMW21535_fig_51663_45_peg_2224	249	Acyl carrier protein pL21535-3 81370-81618	pL21535-3	81370	81618
DMG_21	100	no	19	Pdam_TMW21533_fig_51663_47_peg_2033	867	Malonyl CoA-acyl carrier protein transacylase _EC 2_3_1_39_;Ontology_term_KEGG_ENZYME_2_3_1_39 pL21533-1 51295-52161	pL21533-1	51295	52161
				Pdam_TMW21535_fig_51663_45_peg_2225	867	Malonyl CoA-acyl carrier protein transacylase _EC 2_3_1_39_;Ontology_term_KEGG_ENZYME_2_3_1_39 pL21535-3 81676-82542	pL21535-3	81676	82542
DMG_22	100	no	34	Pdam_TMW21533_fig_51663_47_peg_2034	732	3-oxoacyl-[acyl-carrier protein] reductase _EC 1_1_1_100_;Ontology_term_KEGG_ENZYME_1_1_1_100 pL21533-1 52161-52892	pL21533-1	52161	52892
				Pdam_TMW21535_fig_51663_45_peg_2226	732	3-oxoacyl-[acyl-carrier protein] reductase _EC 1_1_1_100_;Ontology_term_KEGG_ENZYME_1_1_1_100 pL21535-3 82542-83273	pL21535-3	82542	83273
DMG_23	100	no	36	Pdam_TMW21533_fig_51663_47_peg_2035	1230	3-oxoacyl-[acyl-carrier-protein] synthase2C KASII _EC 2_3_1_179_;Ontology_term_KEGG_ENZYME_2_3_1_179 pL21533-1 52913-54142	pL21533-1	52913	54142
				Pdam_TMW21535_fig_51663_45_peg_2227	1230	3-oxoacyl-[acyl-carrier-protein] synthase2C KASII _EC 2_3_1_179_;Ontology_term_KEGG_ENZYME_2_3_1_179 pL21535-3 83294-84523	pL21535-3	83294	84523
DMG_24	100	no	32	Pdam_TMW21533_fig_51663_47_peg_2036	477	Biotin carboxyl carrier protein of acetyl-CoA carboxylase pL21533-1 54147-54623	pL21533-1	54147	54623
				Pdam_TMW21535_fig_51663_45_peg_2228	477	Biotin carboxyl carrier protein of acetyl-CoA carboxylase pL21535-3 84528-85004	pL21535-3	84528	85004
DMG_25	100	no	30	Pdam_TMW21533_fig_51663_47_peg_2037	417	3-hydroxyacyl-[acyl-carrier-protein] dehydratase2C FabZ form _EC 4_2_1_59_;Ontology_term_KEGG_ENZYME_4_2_1_59 pL21533-1 54630-55046	pL21533-1	54630	55046
				Pdam_TMW21535_fig_51663_45_peg_2229	417	3-hydroxyacyl-[acyl-carrier-protein] dehydratase2C FabZ form _EC 4_2_1_59_;Ontology_term_KEGG_ENZYME_4_2_1_59 pL21535-3 85011-85427	pL21535-3	85011	85427
DMG_26	100	yes	289	Pdam_TMW21533_fig_51663_47_peg_2038	1380	Biotin carboxylase of acetyl-CoA carboxylase _EC 6_3_4_14_;Ontology_term_KEGG_ENZYME_6_3_4_14 pL21533-1 55119-56498	pL21533-1	55119	56498
				Pdam_TMW21535_fig_51663_45_peg_2230	1380	Biotin carboxylase of acetyl-CoA carboxylase _EC 6_3_4_14_;Ontology_term_KEGG_ENZYME_6_3_4_14 pL21535-3 85500-86879	pL21535-3	85500	86879
DMG_27	100	no	22	Pdam_TMW21533_fig_51663_47_peg_2045	615	HNH homing endonuclease pL21533-2 4231-4845	pL21533-2	4231	4845
				Pdam_TMW21535_fig_51663_45_peg_2068	615	hypothetical protein pL21535-1 5764-6378	pL21535-3	25794	26408
				Pdam_TMW21535_fig_51663_45_peg_2164	615	HNH homing endonuclease pL21535-3 25794-26408	pL21535-1	5764	6378
DMG_28	100	no	17	Pdam_TMW21533_fig_51663_47_peg_2047	150	hypothetical protein pL21533-2 5515-5664	pL21533-2	5664	5515
				Pdam_TMW21535_fig_51663_45_peg_2070	150	hypothetical protein pL21535-1 7048-7197	pL21535-1	7197	7048
DMG_29	100	no	22	Pdam_TMW21533_fig_51663_47_peg_2048	420	prophage Lp4 protein 12 pL21533-2 5654-6073	pL21533-2	6073	5654
				Pdam_TMW21535_fig_51663_45_peg_2071	420	prophage Lp4 protein 12 pL21535-1 7187-7606	pL21535-1	7606	7187
DMG_30	100	no	17	Pdam_TMW21533_fig_51663_47_peg_2049	114	hypothetical protein pL21533-2 6089-6202	pL21533-2	6202	6089
				Pdam_TMW21535_fig_51663_45_peg_2072	114	hypothetical protein pL21535-1 7622-7735	pL21535-1	7735	7622
DMG_31	100	no	25	Pdam_TMW21533_fig_51663_47_peg_2050	1608	DNA primase_helicase2C phage-associated pL21533-2 6388-7995	pL21533-2	7995	6388
				Pdam_TMW21535_fig_51663_45_peg_2073	1608	DNA primase_helicase2C phage-associated pL21535-1 7921-9528	pL21535-1	9528	7921
DMG_32	100	yes	87	Pdam_TMW21533_fig_51663_47_peg_2051	834	prophage Lp4 protein 72C DNA replication pL21533-2 7955-8788	pL21533-2	8788	7955
				Pdam_TMW21535_fig_51663_45_peg_2074	834	prophage Lp4 protein 72C DNA replication pL21535-1 9488-10321	pL21535-1	10321	9488
DMG_33	100	no	20	Pdam_TMW21533_fig_51663_47_peg_2052	255	prophage Lp3 protein 6 pL21533-2 8785-9039	pL21533-2	9039	8785
				Pdam_TMW21535_fig_51663_45_peg_2075	255	prophage Lp3 protein 6 pL21535-1 10318-10572	pL21535-1	10572	10318
DMG_34	100	no	28	Pdam_TMW21533_fig_51663_47_peg_2053	663	hypothetical protein pL21533-2 9521-10183	pL21533-2	9521	10183
				Pdam_TMW21535_fig_51663_45_peg_2077	663	hypothetical protein pL21535-1 11054-11716	pL21535-1	11054	11716
DMG_35	100	no	36	Pdam_TMW21533_fig_51663_47_peg_2054	261	hypothetical protein pL21533-2 10271-10531	pL21533-2	10531	10271
				Pdam_TMW21535_fig_51663_45_peg_2078	261	hypothetical protein pL21535-1 11804-12064	pL21535-1	12064	11804
DMG_36	100	no	25	Pdam_TMW21533_fig_51663_47_peg_2063	558	hypothetical protein pL21533-3 600-1157	pL21533-3	600	1157
				Pdam_TMW21535_fig_51663_45_peg_2122	558	hypothetical protein pL21535-2 40641-41198	pL21535-2	40641	41198
DMG_37	100	no	97	Pdam_TMW21533_fig_51663_47_peg_2064	909	Magnesium and cobalt transport protein CorA pL21533-3 1325-2233	pL21533-3	2233	1325
				Pdam_TMW21535_fig_51663_45_peg_2123	909	Magnesium and cobalt transport protein CorA pL21535-2 41366-42274	pL21535-2	42274	41366
DMG_38	100	yes	1316	Pdam_TMW21533_fig_51663_47_peg_2065	1377	Manganese transport protein MntH pL21533-3 2419-3795	pL21533-3	3795	2419
				Pdam_TMW21535_fig_51663_45_peg_2124	1377	Manganese transport protein MntH pL21535-2 42460-43836	pL21535-2	43836	42460
DMG_39	100	yes	224	Pdam_TMW21533_fig_51663_47_peg_2066	645	Transcriptional regulator2C TetR family pL21533-3 4043-4687	pL21533-3	4043	4687
				Pdam_TMW21535_fig_51663_45_peg_2125	645	Transcriptional regulator2C TetR family pL21535-2 44084-44728	pL21535-2	44084	44728
DMG_40	100	yes	1372	Pdam_TMW21533_fig_51663_47_peg_2068	1365	NADH peroxidase Npx _EC 1_11_1_1_;Ontology_term_KEGG_ENZYME_1_11_1_1 pL21533-3 6496-7860	pL21533-3	7860	6496
				Pdam_TMW21535_fig_51663_45_peg_2152	1365	NADH peroxidase Npx _EC 1_11_1_1_;Ontology_term_KEGG_ENZYME_1_11_1_1 pL21535-3 12793-14157	pL21535-3	12793	14157
DMG_41	100	no	44	Pdam_TMW21533_fig_51663_47_peg_2093	438	Predicted transcriptional regulators pL21533-3 30332-30769	pL21533-3	30769	30332
				Pdam_TMW21535_fig_51663_45_peg_2135	438	Predicted transcriptional regulators pL21535-3 1880-2317	pL21535-3	1880	2317
DMG_42	100	yes	789	Pdam_TMW21533_fig_51663_47_peg_2106	1032	Mobile element protein pL21533-3 46848-47879	pL21533-3	46848	47879
				Pdam_TMW21535_fig_51663_45_peg_2266	1032	Mobile element protein pL21535-3 118710-119741	pL21535-3	118710	119741
				Pdam_TMW21535_fig_51663_45_peg_2274	1032	Mobile element protein pL21535-3 128967-129998	pL21535-3	128967	129998
DMG_43	100	no	19	Pdam_TMW21533_fig_51663_47_peg_2107	954	Maltose operon transcriptional repressor MalR2C LacI family pL21533-3 48284-49237	pL21533-3	48284	49237
				Pdam_TMW21535_fig_51663_45_peg_2267	954	Maltose operon transcriptional repressor MalR2C LacI family pL21535-3 120146-121099	pL21535-3	120146	121099
DMG_44	100	no	29	Pdam_TMW21533_fig_51663_47_peg_2108	1281	Sugar transporter pL21533-3 49445-50725	pL21533-3	49445	50725
				Pdam_TMW21535_fig_51663_45_peg_2268	1311	Sugar transporter pL21535-3 121277-122587	pL21535-3	121277	122587
DMG_45	100	no	32	Pdam_TMW21533_fig_51663_47_peg_2110	1020	Aldose 1-epimerase _EC 5_1_3_3_;Ontology_term_KEGG_ENZYME_5_1_3_3 pL21533-3 53068-54087	pL21533-3	53068	54087
				Pdam_TMW21535_fig_51663_45_peg_2270	1020	Aldose 1-epimerase _EC 5_1_3_3_;Ontology_term_KEGG_ENZYME_5_1_3_3 pL21535-3 124930-125949	pL21535-3	124930	125949
DMG_46	100	no	22	Pdam_TMW21533_fig_51663_47_peg_2111	663	Beta-phosphoglucomutase _EC 5_4_2_6_;Ontology_term_KEGG_ENZYME_5_4_2_6 pL21533-3 54090-54752	pL21533-3	54090	54752
				Pdam_TMW21535_fig_51663_45_peg_2271	663	Beta-phosphoglucomutase _EC 5_4_2_6_;Ontology_term_KEGG_ENZYME_5_4_2_6 pL21535-3 125952-126614	pL21535-3	125952	126614
DMG_47	100	no	57	Pdam_TMW21533_fig_51663_47_peg_2114	240	hypothetical protein pL21533-3 56906-57145	pL21533-3	57145	56906
				Pdam_TMW21535_fig_51663_45_peg_2115	240	hypothetical protein pL21535-2 35094-35333	pL21535-2	35333	35094
DMG_48	100	no	50	Pdam_TMW21533_fig_51663_47_peg_2115	792	putative plasmid partition protein pL21533-3 57217-58008	pL21533-3	58008	57217
				Pdam_TMW21535_fig_51663_45_peg_2116	792	putative plasmid partition protein pL21535-2 35405-36196	pL21535-2	36196	35405
DMG_49	100	no	26	Pdam_TMW21533_fig_51663_47_peg_2117	201	hypothetical protein pL21533-3 58993-59193	pL21533-3	59193	58993
				Pdam_TMW21535_fig_51663_45_peg_2117	201	hypothetical protein pL21535-2 37181-37381	pL21535-2	37381	37181
DMG_50	100	no	26	Pdam_TMW21533_fig_51663_47_peg_2118	117	hypothetical protein pL21533-3 59333-59449	pL21533-3	59449	59333
				Pdam_TMW21535_fig_51663_45_peg_2118	117	hypothetical protein pL21535-2 37521-37637	pL21535-2	37637	37521
DMG_51	100	no	15	Pdam_TMW21533_fig_51663_47_peg_2119	171	hypothetical protein pL21533-3 59566-59736	pL21533-3	59736	59566
